Calculation starts with 6 processors, at Sun Jun 16 18:29:31 2024
                Time,             Force 1,             Force 2,             Force 3,             Force 4,             Force 5,             Force 6,             Force 7,             Force 8,             Force 9,             Force10,      Displacement 1,          Velocity 1,      Acceleration 1,      Displacement 2,          Velocity 2,      Acceleration 2,      Displacement 3,          Velocity 3,      Acceleration 3,      Displacement 4,          Velocity 4,      Acceleration 4,      Displacement 5,          Velocity 5,      Acceleration 5,      Displacement 6,          Velocity 6,      Acceleration 6,      Displacement 7,          Velocity 7,      Acceleration 7,      Displacement 8,          Velocity 8,      Acceleration 8,      Displacement 9,          Velocity 9,      Acceleration 9,      Displacement10,          Velocity10,      Acceleration10,
        0.0000000000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,   0.0000000000e+000,  -1.7487316305e-310,   6.0135386572e-154,   1.3035428584e-076,   4.8548422267e-033,   6.0134700170e-154,   3.8881126648e-033,   1.1472685089e-259,   6.0134700170e-154,   4.4270383876e-062,   6.0135387688e-154,   1.3035428584e-076,   4.8548422267e-033,  -1.7996595230e-310,   3.8881126648e-033,   1.1472685089e-259,   6.0134700170e-154,   1.3980432861e-076,   6.0135386572e-154,   1.3035428584e-076,
        0.0010000000,   6.9230299369e-002,  -9.0455570195e-002,   2.9097321937e-002,   3.9562536777e-002,  -1.5150405195e-002,   1.6959922529e-002,  -1.0818251116e-002,  -3.5797930417e-001,   1.1441922628e-002,  -7.4716056072e-003,   0.0000000000e+000,   3.8881126648e-033,   6.9230299369e-002,   0.0000000000e+000,   1.1472685089e-259,  -9.0455570195e-002,   0.0000000000e+000,   6.0134700170e-154,   2.9097321937e-002,   0.0000000000e+000,   1.3980432861e-076,   3.9562536777e-002,   0.0000000000e+000,   6.0135386572e-154,  -1.5150405195e-002,   0.0000000000e+000,   1.3035428584e-076,   1.6959922529e-002,   0.0000000000e+000,   0.0000000000e+000,  -1.0818251116e-002,   0.0000000000e+000,   0.0000000000e+000,  -3.5797930417e-001,   0.0000000000e+000,   0.0000000000e+000,   1.1441922628e-002,   0.0000000000e+000,   0.0000000000e+000,  -7.4716056072e-003,
        0.0020000000,   2.2834251073e-003,  -2.1701768960e-002,   2.6400843435e-003,   1.7001229886e-002,   1.8936550589e-003,   4.2427657784e-003,  -1.0598980848e-003,  -3.5016684394e-001,   3.0920871325e-003,  -8.0975368330e-004,   2.3457317779e-008,   3.5756803653e-005,   2.2833079371e-003,  -3.3767677108e-008,  -5.6075246225e-005,  -2.1694922255e-002,   1.0136673435e-008,   1.5861359337e-005,   2.6253967372e-003,   1.6009651168e-008,   2.8247685115e-005,   1.6932833453e-002,  -4.7307395092e-009,  -6.6170159304e-006,   1.9163733337e-003,   6.3457534084e-009,   1.0557298961e-005,   4.1546753921e-003,  -3.7656499874e-009,  -5.8878244041e-006,  -9.5739769196e-004,  -1.7644830334e-007,  -3.5035525795e-004,  -3.4273121172e-001,   4.2927260634e-009,   7.1572168764e-006,   2.8725111252e-003,  -2.5914549632e-009,  -4.0385620859e-006,  -6.0551856464e-004,
        0.0030000000,   1.4616602573e-002,  -2.9250028988e-002,   5.9554943023e-003,   1.4879887057e-002,  -1.9818225029e-003,   5.7663704192e-003,  -2.9309065925e-003,  -3.4484528303e-001,   4.2458262380e-003,  -2.0787721464e-003,   6.2411276232e-008,   4.4206614082e-005,   1.4616312920e-002,  -1.0194651016e-007,  -8.1538545593e-005,  -2.9231676481e-002,   2.7859614490e-008,   2.0133406122e-005,   5.9186968320e-003,   5.2349811887e-008,   4.4058695201e-005,   1.4689186718e-002,  -1.1030725619e-008,  -6.6241131344e-006,  -1.9305677418e-003,   1.9209586194e-008,   1.5399562739e-005,   5.5298521642e-003,  -1.0417708451e-008,  -7.7018277351e-006,  -2.6706089699e-003,  -6.9458852877e-007,  -6.8234455452e-004,  -3.2124738142e-001,   1.3016893769e-008,   1.0421813801e-005,   3.6566827237e-003,  -7.0930710922e-009,  -5.1249649329e-006,  -1.5672871292e-003,
        0.0040000000,   2.2038658713e-002,  -3.7803656366e-002,   9.4847173085e-003,   1.4538087029e-002,  -4.1081700632e-003,   7.6020420941e-003,  -4.3372064056e-003,  -3.4318956161e-001,   5.4951074528e-003,  -3.1064153307e-003,   1.1516301612e-007,   6.2533835030e-005,   2.2038128977e-002,  -1.9952372287e-007,  -1.1503870870e-004,  -3.7768649726e-002,   5.1535488300e-008,   2.7801460770e-005,   9.4174124652e-003,   1.0366742119e-007,   5.8490844136e-005,   1.4175111153e-002,  -1.8968167772e-008,  -9.5988163197e-006,  -4.0188386289e-003,   3.7644169882e-008,   2.1739699505e-005,   7.1504213676e-003,  -1.9651907747e-008,  -1.0963637933e-005,  -3.8530114255e-003,  -1.5330535887e-006,  -9.9008238010e-004,  -2.9422826974e-001,   2.5387250162e-008,   1.4439100215e-005,   4.3778901049e-003,  -1.3102949698e-008,  -6.9960623879e-006,  -2.1749077808e-003,
        0.0050000000,   9.7734046829e-003,  -2.5512988084e-002,   4.2107707385e-003,   1.4291825427e-002,  -2.6592168949e-004,   4.8006733525e-003,  -2.0625936536e-003,  -3.4221101622e-001,   3.5990774063e-003,  -1.5405050827e-003,   1.8667165497e-007,   7.8439182027e-005,   9.7725650166e-003,  -3.3139465971e-007,  -1.4665106827e-004,  -2.5456069412e-002,   8.3160167577e-008,   3.4562410057e-005,   4.1044861080e-003,   1.6916808093e-007,   7.2432735378e-005,   1.3708671331e-002,  -2.9928078265e-008,  -1.1672679525e-005,  -1.2888778107e-004,   6.2445459920e-008,   2.7349260421e-005,   4.0687004657e-003,  -3.2115140125e-008,  -1.3535915556e-005,  -1.2915438208e-003,  -2.6644131214e-006,  -1.2667997029e-003,  -2.5920637582e-001,   4.1587853982e-008,   1.7534665978e-005,   1.8132414204e-003,  -2.0840387050e-008,  -8.1327333895e-006,  -9.8434222597e-005,
        0.0060000000,   2.2399518558e-002,  -3.7516408248e-002,   9.2296291085e-003,   1.4366247800e-002,  -4.2400514496e-003,   7.6102325599e-003,  -4.4606132558e-003,  -3.4197400311e-001,   5.5969967312e-003,  -3.2450890245e-003,   2.7210140821e-007,   9.4524613136e-005,   2.2398297201e-002,  -4.9276979471e-007,  -1.7809523374e-004,  -3.7432261536e-002,   1.2060338604e-007,   4.1152592210e-005,   9.0758781986e-003,   2.4842310476e-007,   8.6045265078e-005,   1.3516388068e-002,  -4.2317961297e-008,  -1.3759846156e-005,  -4.0454454818e-003,   9.2240100920e-008,   3.2651051925e-005,   6.5348825406e-003,  -4.6638912732e-008,  -1.5853714800e-005,  -3.3440546678e-003,  -4.0538167463e-006,  -1.5050082812e-003,  -2.1721078073e-001,   6.0231205163e-008,   1.9954100877e-005,   3.0256283769e-003,  -2.9210816782e-008,  -8.7966053046e-006,  -1.2293096076e-003,
        0.0070000000,   1.1528908504e-002,  -2.6791472112e-002,   4.6687964206e-003,   1.4410385436e-002,  -8.2079585946e-004,   5.1821866688e-003,  -2.4747158763e-003,  -3.4209714569e-001,   3.9798796923e-003,  -1.8889756654e-003,   3.7601332595e-007,   1.1148737835e-004,   1.1527233219e-002,  -6.8778824896e-007,  -2.1014876452e-004,  -2.6674800025e-002,   1.6552448329e-007,   4.7920168241e-005,   4.4592738623e-003,   3.4118187843e-007,   9.9427596816e-005,   1.3248275409e-002,  -5.7519436653e-008,  -1.6062011017e-005,  -5.5888423928e-004,   1.2768681533e-007,   3.7770598121e-005,   3.7042098515e-003,  -6.3767441296e-008,  -1.8006128756e-005,  -9.6077324385e-004,  -5.6594112880e-006,  -1.6981616723e-003,  -1.6909600156e-001,   8.1283194281e-008,   2.1734951412e-005,   5.3607269441e-004,  -3.8295526706e-008,  -9.0462643607e-006,   7.2999149545e-004,
        0.0080000000,   2.1098916619e-002,  -3.5897119602e-002,   8.4792801623e-003,   1.4679070276e-002,  -3.8479290499e-003,   7.3593875182e-003,  -4.3349554636e-003,  -3.4278268350e-001,   5.5508481168e-003,  -3.2172938870e-003,   4.9485923436e-007,   1.2779935194e-004,   2.1096713964e-002,  -9.1278571624e-007,  -2.4135747276e-004,  -3.5742616460e-002,   2.1629870271e-007,   5.4252684856e-005,   8.2057593692e-003,   4.4721887939e-007,   1.1263167155e-004,   1.3159874052e-002,  -7.4352555055e-008,  -1.8095891054e-005,  -3.5088758347e-003,   1.6759603638e-007,   4.2334361983e-005,   5.4233178741e-003,  -8.2490267375e-008,  -1.9675834105e-005,  -2.3786374539e-003,  -7.4333541018e-006,  -1.8409570961e-003,  -1.1649484604e-001,   1.0339338549e-007,   2.2592634446e-005,   1.1792933734e-003,  -4.7098292106e-008,  -8.6807632262e-006,   1.0107736005e-006,
        0.0090000000,   1.3434348794e-002,  -2.8258535744e-002,   5.2255168414e-003,   1.4928082899e-002,  -1.4477935412e-003,   5.6792589867e-003,  -2.9687044002e-003,  -3.4377191132e-001,   4.4575152086e-003,  -2.2861792062e-003,   6.3192941509e-007,   1.4506348134e-004,   1.3431544832e-002,  -1.1707342137e-006,  -2.7325923868e-004,  -2.8060915380e-002,   2.7409996335e-007,   6.0795532516e-005,   4.8799359493e-003,   5.6640508922e-007,   1.2571534937e-004,   1.3007481596e-002,  -9.3788388897e-008,  -2.0361281499e-005,  -1.0219050564e-003,   2.1227721500e-007,   4.6663152940e-005,   3.2342640392e-003,  -1.0304787803e-007,  -2.1131845019e-005,  -5.3338437518e-004,  -9.3232629845e-006,  -1.9295650328e-003,  -6.0721027353e-002,   1.2623530778e-007,   2.2750851306e-005,  -8.6285965374e-004,  -5.5529795465e-008,  -7.9334890088e-006,   1.4935376613e-003,
        0.0100000000,   2.0145776621e-002,  -3.4596787081e-002,   7.8788646890e-003,   1.5337194168e-002,  -3.5826273466e-003,   7.2427214636e-003,  -4.3109949920e-003,  -3.4519579280e-001,   5.6011697660e-003,  -3.2392207151e-003,   7.8482712742e-007,   1.6185040192e-004,   2.0142296333e-002,  -1.4590722178e-006,  -3.0446507733e-004,  -3.4350761912e-002,   3.3776435129e-007,   6.6962130818e-005,   7.4532606547e-003,   6.9861813920e-007,   1.3870471039e-004,   1.2971240435e-002,  -1.1500033591e-007,  -2.2402325524e-005,  -3.0601829925e-003,   2.6072556728e-007,   5.0401618952e-005,   4.2426679846e-003,  -1.2458559168e-007,  -2.2082758728e-005,  -1.3684430417e-003,  -1.1273663502e-005,  -1.9617109738e-003,  -3.5708547074e-003,   1.4858932004e-007,   2.1991763996e-005,  -6.5531496548e-004,  -6.2793148598e-008,  -6.6698502133e-006,   1.0337399296e-003,
